Dates,ActualPrice,MultiPredictPrice,PredictPrice
2017-09-15,3403.4453,3171.9495,3570.8667
2017-09-16,3771.1433,2934.1594,3446.3352
2017-09-17,3678.9973,3568.4326,3832.403
2017-09-18,3984.576,3533.9558,3735.4375
2017-09-19,3967.6035,3790.922,4057.548
2017-09-20,3941.6978,3775.5127,4039.6157
2017-09-21,3741.2468,3786.7046,4012.2554
2017-09-22,3624.3499,3559.3909,3800.9272
2017-09-23,3745.298,3474.3262,3678.0002
2017-09-24,3704.382,3603.3403,3805.1917
2017-09-25,3856.03,3579.6348,3762.1355
2017-09-26,3917.2588,3698.5828,3921.8564
2017-09-27,4074.456,3769.5364,3986.454
2017-09-28,4195.6025,3886.9438,4152.5874
2017-09-29,4132.642,4021.636,4280.9
2017-09-30,4290.1177,3981.2869,4214.184
2017-10-01,4314.305,4145.2837,4381.1733
2017-10-02,4409.7217,4179.854,4406.8574
2017-10-03,4311.7573,4264.263,4508.273
2017-10-04,4250.843,4141.5996,4404.1514
2017-10-05,4272.969,4104.315,4339.488
2017-10-06,4373.801,4130.2607,4362.9688
2017-10-07,4363.2295,4233.745,4470.0767
2017-10-08,4509.198,4233.059,4458.8394
2017-10-09,4699.6816,4353.5615,4614.161
2017-10-10,4818.2876,4523.731,4817.365
2017-10-11,4802.2446,4633.0234,4944.1836
2017-10-12,5161.4243,4649.61,4927.017
2017-10-13,5615.5117,4926.621,5312.327
2017-10-14,5692.831,5340.8477,5802.297
2017-10-15,5610.778,5542.6973,5886.036
2017-10-16,5674.173,5434.4814,5797.172
2017-10-17,5624.92,5522.173,5865.821
2017-10-18,5394.4517,5467.5728,5812.4805
2017-10-19,5646.4897,5189.7896,5563.377
2017-10-20,5882.5947,5489.2285,5835.835
2017-10-21,6071.996,5705.5625,6091.9326
2017-10-22,5909.1406,5893.932,6297.9614
2017-10-23,5856.9355,5755.9756,6120.777
2017-10-24,5671.3325,5674.6226,6064.059
2017-10-25,5569.821,5470.2754,5862.7427
2017-10-26,5863.6514,5387.2275,5752.854
2017-10-27,5824.912,5697.799,6071.3545
2017-10-28,5751.872,5672.7886,6029.288
2017-10-29,5982.5024,5617.5493,5950.038
2017-10-30,6117.285,5809.8745,6200.546
2017-10-31,6299.347,5969.8486,6347.304
2017-11-01,6546.0483,6129.767,6545.96
2017-11-02,6966.944,6351.411,6815.8975
2017-11-03,7246.021,6710.072,7278.391
2017-11-04,7241.866,7052.851,7586.3765
2017-11-05,7450.8975,7100.1147,7581.783
2017-11-06,7213.893,7312.885,7813.1313
2017-11-07,7115.7974,7017.755,7550.8677
2017-11-08,7412.7666,6967.311,7442.5337
2017-11-09,7261.6313,7182.247,7770.8877
2017-11-10,6823.4434,7062.553,7603.6353
2017-11-11,6461.1504,6525.8115,7120.4346
2017-11-12,5953.316,6223.1294,6722.905
2017-11-13,6398.2915,5521.5156,6168.8003
2017-11-14,6650.8813,6146.3174,6654.12
2017-11-15,7081.226,6471.488,6930.8623
2017-11-16,7434.327,6813.905,7404.385
2017-11-17,7794.534,7132.3887,7794.772
2017-11-18,7659.6646,7577.1123,8194.687
2017-11-19,7848.255,7514.256,8044.755
2017-11-20,8116.417,7710.916,8254.471
2017-11-21,8117.001,7983.0776,8553.44
2017-11-22,8203.216,7922.7583,8554.093
2017-11-23,8156.897,8066.0938,8650.401
2017-11-24,8059.1465,8011.8364,8598.648
2017-11-25,8447.543,7886.9214,8489.517
2017-11-26,9023.042,8316.808,8923.821
2017-11-27,9494.206,8882.703,9570.632
2017-11-28,9727.224,9360.621,10102.968
2017-11-29,10275.273,9619.534,10367.127
2017-11-30,9894.191,9839.248,10990.644
2017-12-01,10296.381,9608.224,10556.762
2017-12-02,10926.747,10108.062,11014.718
2017-12-03,11274.703,10831.1045,11735.676
2017-12-04,11387.471,11112.571,12135.215
2017-12-05,11691.905,11258.498,12264.931
2017-12-06,12698.572,11579.334,12615.663
2017-12-07,14895.165,12476.85,13780.747
2017-12-08,15482.665,14430.857,16346.911
2017-12-09,14689.946,15260.163,17037.705
2017-12-10,14479.575,14552.372,16105.999
2017-12-11,16492.422,14291.364,15859.257
2017-12-12,16822.262,16267.772,18228.314
2017-12-13,16548.672,16702.004,18617.994
2017-12-14,16285.498,16436.09,18294.746
2017-12-15,17348.352,16208.683,17984.027
2017-12-16,18405.941,17191.797,19240.168
2017-12-17,19135.469,18317.316,20492.756
2017-12-18,18683.676,18968.908,21357.752
2017-12-19,18093.127,18517.701,20821.996
2017-12-20,16515.545,17826.639,20122.055
2017-12-21,15707.989,16142.025,18255.621
